Category: All categories

Week,chocolate: (Germany)
2016-06-19,66
2016-06-26,70
2016-07-03,58
2016-07-10,63
2016-07-17,63
2016-07-24,66
2016-07-31,78
2016-08-07,61
2016-08-14,75
2016-08-21,68
2016-08-28,76
2016-09-04,75
2016-09-11,65
2016-09-18,68
2016-09-25,79
2016-10-02,81
2016-10-09,80
2016-10-16,84
2016-10-23,78
2016-10-30,84
2016-11-06,77
2016-11-13,90
2016-11-20,74
2016-11-27,91
2016-12-04,94
2016-12-11,86
2016-12-18,100
2016-12-25,86
2017-01-01,76
2017-01-08,68
2017-01-15,67
2017-01-22,74
2017-01-29,68
2017-02-05,60
2017-02-12,71
2017-02-19,77
2017-02-26,70
2017-03-05,78
2017-03-12,74
2017-03-19,70
2017-03-26,68
2017-04-02,68
2017-04-09,82
2017-04-16,74
2017-04-23,68
2017-04-30,72
2017-05-07,63
2017-05-14,75
2017-05-21,70
2017-05-28,69
2017-06-04,65
2017-06-11,73
2017-06-18,64
2017-06-25,69
2017-07-02,61
2017-07-09,58
2017-07-16,85
2017-07-23,57
2017-07-30,67
2017-08-06,60
2017-08-13,63
2017-08-20,63
2017-08-27,67
2017-09-03,68
2017-09-10,56
2017-09-17,67
2017-09-24,62
2017-10-01,58
2017-10-08,70
2017-10-15,65
2017-10-22,73
2017-10-29,71
2017-11-05,65
2017-11-12,71
2017-11-19,68
2017-11-26,91
2017-12-03,80
2017-12-10,79
2017-12-17,94
2017-12-24,79
2017-12-31,70
2018-01-07,71
2018-01-14,67
2018-01-21,90
2018-01-28,72
2018-02-04,70
2018-02-11,62
2018-02-18,79
2018-02-25,75
2018-03-04,73
2018-03-11,73
2018-03-18,78
2018-03-25,81
2018-04-01,69
2018-04-08,70
2018-04-15,66
2018-04-22,63
2018-04-29,65
2018-05-06,57
2018-05-13,72
2018-05-20,64
2018-05-27,57
2018-06-03,60
2018-06-10,48
2018-06-17,57
2018-06-24,53
2018-07-01,69
2018-07-08,44
2018-07-15,48
2018-07-22,53
2018-07-29,50
2018-08-05,59
2018-08-12,64
2018-08-19,62
2018-08-26,73
2018-09-02,72
2018-09-09,64
2018-09-16,66
2018-09-23,70
2018-09-30,77
2018-10-07,79
2018-10-14,71
2018-10-21,67
2018-10-28,86
2018-11-04,74
2018-11-11,76
2018-11-18,88
2018-11-25,73
2018-12-02,95
2018-12-09,89
2018-12-16,97
2018-12-23,91
2018-12-30,64
2019-01-06,66
2019-01-13,57
2019-01-20,64
2019-01-27,65
2019-02-03,61
2019-02-10,72
2019-02-17,60
2019-02-24,65
2019-03-03,70
2019-03-10,60
2019-03-17,70
2019-03-24,73
2019-03-31,78
2019-04-07,62
2019-04-14,78
2019-04-21,50
2019-04-28,66
2019-05-05,71
2019-05-12,66
2019-05-19,62
2019-05-26,84
2019-06-02,65
2019-06-09,58
2019-06-16,60
2019-06-23,50
2019-06-30,50
2019-07-07,58
2019-07-14,58
2019-07-21,61
2019-07-28,68
2019-08-04,64
2019-08-11,52
2019-08-18,74
2019-08-25,64
2019-09-01,52
2019-09-08,63
2019-09-15,57
2019-09-22,66
2019-09-29,69
2019-10-06,62
2019-10-13,65
2019-10-20,67
2019-10-27,74
2019-11-03,73
2019-11-10,69
2019-11-17,67
2019-11-24,73
2019-12-01,90
2019-12-08,66
2019-12-15,88
2019-12-22,96
2019-12-29,87
2020-01-05,67
2020-01-12,70
2020-01-19,61
2020-01-26,61
2020-02-02,64
2020-02-09,80
2020-02-16,62
2020-02-23,70
2020-03-01,58
2020-03-08,60
2020-03-15,58
2020-03-22,68
2020-03-29,84
2020-04-05,82
2020-04-12,74
2020-04-19,74
2020-04-26,75
2020-05-03,69
2020-05-10,66
2020-05-17,74
2020-05-24,53
2020-05-31,65
2020-06-07,76
2020-06-14,70
2020-06-21,66
2020-06-28,64
2020-07-05,58
2020-07-12,63
2020-07-19,48
2020-07-26,58
2020-08-02,63
2020-08-09,52
2020-08-16,57
2020-08-23,55
2020-08-30,57
2020-09-06,72
2020-09-13,59
2020-09-20,59
2020-09-27,63
2020-10-04,59
2020-10-11,70
2020-10-18,67
2020-10-25,62
2020-11-01,58
2020-11-08,72
2020-11-15,64
2020-11-22,69
2020-11-29,73
2020-12-06,77
2020-12-13,68
2020-12-20,94
2020-12-27,80
2021-01-03,57
2021-01-10,51
2021-01-17,60
2021-01-24,77
2021-01-31,73
2021-02-07,62
2021-02-14,70
2021-02-21,58
2021-02-28,57
2021-03-07,63
2021-03-14,68
2021-03-21,71
2021-03-28,67
2021-04-04,72
2021-04-11,44
2021-04-18,66
2021-04-25,71
2021-05-02,47
2021-05-09,64
2021-05-16,63
2021-05-23,54
2021-05-30,41
2021-06-06,39
