Category: All categories

Week,pandemic: (Germany)
2016-06-19,4
2016-06-26,3
2016-07-03,3
2016-07-10,3
2016-07-17,2
2016-07-24,1
2016-07-31,4
2016-08-07,1
2016-08-14,2
2016-08-21,4
2016-08-28,3
2016-09-04,5
2016-09-11,3
2016-09-18,3
2016-09-25,4
2016-10-02,3
2016-10-09,4
2016-10-16,2
2016-10-23,3
2016-10-30,3
2016-11-06,1
2016-11-13,3
2016-11-20,3
2016-11-27,2
2016-12-04,2
2016-12-11,1
2016-12-18,4
2016-12-25,6
2017-01-01,5
2017-01-08,6
2017-01-15,5
2017-01-22,2
2017-01-29,4
2017-02-05,3
2017-02-12,0
2017-02-19,2
2017-02-26,5
2017-03-05,2
2017-03-12,8
2017-03-19,2
2017-03-26,2
2017-04-02,1
2017-04-09,3
2017-04-16,1
2017-04-23,5
2017-04-30,1
2017-05-07,4
2017-05-14,1
2017-05-21,2
2017-05-28,3
2017-06-04,2
2017-06-11,5
2017-06-18,1
2017-06-25,1
2017-07-02,1
2017-07-09,2
2017-07-16,2
2017-07-23,1
2017-07-30,2
2017-08-06,2
2017-08-13,5
2017-08-20,3
2017-08-27,2
2017-09-03,2
2017-09-10,0
2017-09-17,4
2017-09-24,1
2017-10-01,4
2017-10-08,1
2017-10-15,6
2017-10-22,7
2017-10-29,4
2017-11-05,5
2017-11-12,4
2017-11-19,3
2017-11-26,2
2017-12-03,2
2017-12-10,3
2017-12-17,3
2017-12-24,7
2017-12-31,1
2018-01-07,9
2018-01-14,3
2018-01-21,3
2018-01-28,4
2018-02-04,2
2018-02-11,2
2018-02-18,2
2018-02-25,1
2018-03-04,2
2018-03-11,2
2018-03-18,3
2018-03-25,2
2018-04-01,3
2018-04-08,1
2018-04-15,1
2018-04-22,3
2018-04-29,1
2018-05-06,2
2018-05-13,2
2018-05-20,1
2018-05-27,5
2018-06-03,1
2018-06-10,2
2018-06-17,1
2018-06-24,0
2018-07-01,2
2018-07-08,0
2018-07-15,1
2018-07-22,3
2018-07-29,1
2018-08-05,5
2018-08-12,2
2018-08-19,2
2018-08-26,2
2018-09-02,3
2018-09-09,4
2018-09-16,2
2018-09-23,3
2018-09-30,3
2018-10-07,1
2018-10-14,2
2018-10-21,3
2018-10-28,2
2018-11-04,2
2018-11-11,0
2018-11-18,1
2018-11-25,2
2018-12-02,2
2018-12-09,3
2018-12-16,5
2018-12-23,4
2018-12-30,10
2019-01-06,3
2019-01-13,2
2019-01-20,1
2019-01-27,4
2019-02-03,2
2019-02-10,2
2019-02-17,3
2019-02-24,2
2019-03-03,3
2019-03-10,2
2019-03-17,3
2019-03-24,1
2019-03-31,3
2019-04-07,3
2019-04-14,1
2019-04-21,1
2019-04-28,2
2019-05-05,3
2019-05-12,3
2019-05-19,1
2019-05-26,1
2019-06-02,2
2019-06-09,1
2019-06-16,1
2019-06-23,3
2019-06-30,1
2019-07-07,0
2019-07-14,2
2019-07-21,0
2019-07-28,1
2019-08-04,2
2019-08-11,2
2019-08-18,4
2019-08-25,3
2019-09-01,2
2019-09-08,1
2019-09-15,2
2019-09-22,1
2019-09-29,1
2019-10-06,1
2019-10-13,2
2019-10-20,3
2019-10-27,3
2019-11-03,1
2019-11-10,1
2019-11-17,5
2019-11-24,<1
2019-12-01,4
2019-12-08,2
2019-12-15,3
2019-12-22,5
2019-12-29,4
2020-01-05,3
2020-01-12,2
2020-01-19,9
2020-01-26,10
2020-02-02,6
2020-02-09,1
2020-02-16,3
2020-02-23,22
2020-03-01,18
2020-03-08,50
2020-03-15,100
2020-03-22,78
2020-03-29,63
2020-04-05,47
2020-04-12,37
2020-04-19,36
2020-04-26,34
2020-05-03,27
2020-05-10,27
2020-05-17,21
2020-05-24,19
2020-05-31,18
2020-06-07,16
2020-06-14,12
2020-06-21,18
2020-06-28,16
2020-07-05,13
2020-07-12,17
2020-07-19,13
2020-07-26,17
2020-08-02,14
2020-08-09,12
2020-08-16,12
2020-08-23,16
2020-08-30,12
2020-09-06,10
2020-09-13,13
2020-09-20,11
2020-09-27,37
2020-10-04,33
2020-10-11,21
2020-10-18,17
2020-10-25,16
2020-11-01,26
2020-11-08,28
2020-11-15,17
2020-11-22,16
2020-11-29,18
2020-12-06,17
2020-12-13,21
2020-12-20,20
2020-12-27,17
2021-01-03,16
2021-01-10,17
2021-01-17,15
2021-01-24,19
2021-01-31,15
2021-02-07,15
2021-02-14,12
2021-02-21,11
2021-02-28,17
2021-03-07,12
2021-03-14,14
2021-03-21,12
2021-03-28,16
2021-04-04,14
2021-04-11,15
2021-04-18,13
2021-04-25,14
2021-05-02,11
2021-05-09,12
2021-05-16,11
2021-05-23,11
2021-05-30,14
2021-06-06,11
