Category: All categories

Week,the: (Worldwide)
2016-06-19,86
2016-06-26,83
2016-07-03,84
2016-07-10,83
2016-07-17,79
2016-07-24,83
2016-07-31,82
2016-08-07,75
2016-08-14,78
2016-08-21,79
2016-08-28,85
2016-09-04,83
2016-09-11,84
2016-09-18,86
2016-09-25,89
2016-10-02,84
2016-10-09,88
2016-10-16,88
2016-10-23,88
2016-10-30,89
2016-11-06,95
2016-11-13,93
2016-11-20,84
2016-11-27,90
2016-12-04,89
2016-12-11,89
2016-12-18,83
2016-12-25,83
2017-01-01,88
2017-01-08,90
2017-01-15,92
2017-01-22,93
2017-01-29,91
2017-02-05,92
2017-02-12,88
2017-02-19,91
2017-02-26,92
2017-03-05,92
2017-03-12,88
2017-03-19,92
2017-03-26,90
2017-04-02,89
2017-04-09,87
2017-04-16,86
2017-04-23,88
2017-04-30,91
2017-05-07,85
2017-05-14,85
2017-05-21,84
2017-05-28,82
2017-06-04,84
2017-06-11,83
2017-06-18,82
2017-06-25,84
2017-07-02,80
2017-07-09,83
2017-07-16,83
2017-07-23,82
2017-07-30,81
2017-08-06,81
2017-08-13,82
2017-08-20,87
2017-08-27,82
2017-09-03,81
2017-09-10,84
2017-09-17,86
2017-09-24,83
2017-10-01,85
2017-10-08,86
2017-10-15,87
2017-10-22,88
2017-10-29,88
2017-11-05,86
2017-11-12,88
2017-11-19,80
2017-11-26,86
2017-12-03,88
2017-12-10,88
2017-12-17,81
2017-12-24,81
2017-12-31,84
2018-01-07,86
2018-01-14,86
2018-01-21,85
2018-01-28,90
2018-02-04,88
2018-02-11,83
2018-02-18,85
2018-02-25,84
2018-03-04,83
2018-03-11,84
2018-03-18,84
2018-03-25,85
2018-04-01,82
2018-04-08,85
2018-04-15,81
2018-04-22,82
2018-04-29,86
2018-05-06,84
2018-05-13,84
2018-05-20,82
2018-05-27,78
2018-06-03,79
2018-06-10,76
2018-06-17,78
2018-06-24,76
2018-07-01,76
2018-07-08,77
2018-07-15,81
2018-07-22,82
2018-07-29,77
2018-08-05,77
2018-08-12,80
2018-08-19,80
2018-08-26,81
2018-09-02,82
2018-09-09,87
2018-09-16,84
2018-09-23,83
2018-09-30,83
2018-10-07,83
2018-10-14,87
2018-10-21,85
2018-10-28,87
2018-11-04,86
2018-11-11,85
2018-11-18,80
2018-11-25,86
2018-12-02,86
2018-12-09,83
2018-12-16,80
2018-12-23,77
2018-12-30,84
2019-01-06,83
2019-01-13,84
2019-01-20,84
2019-01-27,84
2019-02-03,87
2019-02-10,87
2019-02-17,84
2019-02-24,86
2019-03-03,83
2019-03-10,80
2019-03-17,82
2019-03-24,81
2019-03-31,82
2019-04-07,83
2019-04-14,83
2019-04-21,80
2019-04-28,85
2019-05-05,84
2019-05-12,80
2019-05-19,79
2019-05-26,78
2019-06-02,77
2019-06-09,76
2019-06-16,79
2019-06-23,75
2019-06-30,77
2019-07-07,76
2019-07-14,79
2019-07-21,76
2019-07-28,76
2019-08-04,77
2019-08-11,79
2019-08-18,77
2019-08-25,80
2019-09-01,83
2019-09-08,83
2019-09-15,83
2019-09-22,83
2019-09-29,82
2019-10-06,85
2019-10-13,83
2019-10-20,84
2019-10-27,86
2019-11-03,87
2019-11-10,86
2019-11-17,85
2019-11-24,81
2019-12-01,83
2019-12-08,85
2019-12-15,82
2019-12-22,82
2019-12-29,81
2020-01-05,84
2020-01-12,85
2020-01-19,83
2020-01-26,87
2020-02-02,89
2020-02-09,87
2020-02-16,86
2020-02-23,90
2020-03-01,87
2020-03-08,85
2020-03-15,87
2020-03-22,93
2020-03-29,100
2020-04-05,95
2020-04-12,94
2020-04-19,97
2020-04-26,95
2020-05-03,95
2020-05-10,90
2020-05-17,88
2020-05-24,85
2020-05-31,87
2020-06-07,85
2020-06-14,83
2020-06-21,83
2020-06-28,84
2020-07-05,82
2020-07-12,80
2020-07-19,84
2020-07-26,86
2020-08-02,79
2020-08-09,81
2020-08-16,82
2020-08-23,88
2020-08-30,85
2020-09-06,89
2020-09-13,96
2020-09-20,92
2020-09-27,94
2020-10-04,90
2020-10-11,87
2020-10-18,88
2020-10-25,86
2020-11-01,98
2020-11-08,85
2020-11-15,85
2020-11-22,82
2020-11-29,85
2020-12-06,87
2020-12-13,86
2020-12-20,84
2020-12-27,87
2021-01-03,88
2021-01-10,85
2021-01-17,88
2021-01-24,88
2021-01-31,90
2021-02-07,91
2021-02-14,87
2021-02-21,86
2021-02-28,87
2021-03-07,86
2021-03-14,87
2021-03-21,87
2021-03-28,83
2021-04-04,86
2021-04-11,85
2021-04-18,86
2021-04-25,85
2021-05-02,83
2021-05-09,85
2021-05-16,83
2021-05-23,86
2021-05-30,82
2021-06-06,82
